trial	value	rameau-tfidf-snowball-fr	rameau-mllm-fr	rameau-omikuji-snowball-fr
0	0.03828229324101591	0.3962606288604643	0.19612668007872974	0.40761269106080594
1	0.03828132980859665	0.49509300785672467	0.3496373380559181	0.15526965408735724
2	0.039696350047661116	0.06291854464395008	0.36852888300216163	0.5685525723538883
3	0.03908444578964467	0.15383041741245387	0.4514500635966181	0.3947195189909279
4	0.038746158173085306	0.24046638223005132	0.44427245966654166	0.3152611581034071
5	0.03883683805330354	0.2147555683650715	0.4652915137575841	0.3199529178773443
6	0.041089173520381085	0.01365624995102241	0.242622549043886	0.7437212010050916
7	0.03811093821272068	0.8706256717710644	0.07239851705757419	0.05697581117136133
8	0.03882245489404241	0.1847525226959814	0.3049129871047808	0.5103344901992378
9	0.04010414092583877	0.03533219328360334	0.5394491039125182	0.4252187028038784
